Group,Individual,Side,Tooth,Facet,Asfc,Smc,epLsar,HAsfc,Tfv,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Smr,Smc,Sxp,Sal,Str,Std,Sdq,Sdr,Vm,Vv,Vmp,Vmc,Vvc,Vvv,Spd,Spc,S10z,S5p,S5v,Sda,Sha,Sdv,Shv
Turkana,TK02,R,M1,10n,3.360826291,1.116018115,0.000749051,0.18,45699.26122,0.305326298,-0.533803133,4.503458675,1.133404,2.373262,3.506666,0.237037045,34.1662927,0.371997533,0.649959159,15.49990478,0.756068982,108.7511566,0.192662665,1.777318498,0.012438765,0.384436765,0.012438765,0.262719526,0.344827474,0.039609291,0.009108903,1.852265195,1.438944469,0.692825511,0.746118958,199.1701959,103.2096028,3.380171555,1.857189385
Turkana,TK03,R,M1,9,2.280117804,1.667138172,0.003438055,0.21,50416.05175,0.376588607,0.028871456,3.635027892,1.853494,1.918379,3.771873,0.290884804,1.568518025,0.476627521,0.769317974,14.04603655,0.453444017,58.5156401,0.164176291,1.296709904,0.020037205,0.496665205,0.020037205,0.315066628,0.451188372,0.045476833,0.005465342,1.593141151,1.704744322,0.899549351,0.805194971,371.2768642,160.7926208,4.380143706,2.613383337
Turkana,TK09,R,M1,10n,3.230766172,0.67512207,0.000802702,0.26,45222.10337,0.288759041,-0.266873084,4.369017737,1.778672,1.538026,3.316698,0.221708922,0.75952132,0.331472388,0.601974819,14.82455326,0.813624416,99.99615073,0.197982315,1.827525091,0.015456909,0.346928909,0.015456909,0.243940937,0.309467063,0.037461846,0.011135634,3.510073898,1.741387911,0.944582797,0.796805115,155.8754559,83.92050806,1.916178876,1.332543095
Turkana,TK16,R,M1,10n,3.158695602,1.377800142,0.002001268,0.19,36872.16006,0.378778996,-0.493624705,29.42208549,2.756938,21.378806,24.135744,0.291050124,0.000877113,0.487024414,0.769382198,14.01588293,0.453651158,58.51430173,0.40063695,3.943782241,0.019057329,0.506081329,0.019057329,0.308205759,0.458453241,0.047628087,9.11E-05,28.55581066,*****,*****,4.991918268,56.56328852,1293.313438,2.096223567,85.48180448
Turkana,TK19,L,M1,9,4.398863076,0.67512207,0.000499127,0.53,42242.42144,0.408511566,-0.335735663,7.471986674,4.474163,3.10515,7.579313,0.294034724,0.000187953,0.453559272,0.801442506,15.74105006,0.761131024,137.9986177,0.239612245,2.549976639,0.025121911,0.478680911,0.025121911,0.297430722,0.425100278,0.053580633,0.002299998,17.15828364,3.76120632,2.530354385,1.230851935,413.1574842,272.3617193,10.45991703,6.434084036
Turkana,TK29,L,M1,9,2.094805045,1.116018115,0.00241641,0.23,25951.75007,0.198343916,-0.165575663,3.954650909,2.042687,1.009156,3.051843,0.153484062,0.004009658,0.23864648,0.424929957,11.55300169,0.494773016,160.749343,0.146042181,1.020424954,0.009737871,0.248383871,0.009737871,0.168719163,0.222453837,0.025930034,0.006421777,1.531031492,1.489803802,0.862317016,0.627486787,207.1408354,131.6568882,2.455211322,1.919168436
Turkana,TK35,L,M1,10n,4.719419157,1.116018115,0.00068972,0.19,44927.77997,0.435477049,-0.437548443,4.109026363,2.462917,2.288264,4.751181,0.336978263,0.071633884,0.496637859,0.970858039,11.86351361,0.677314231,121.4951048,0.262471322,3.05000787,0.020620424,0.517258424,0.020620424,0.368939941,0.455558059,0.061700365,0.007537617,5.554524372,2.95076933,1.566535481,1.384233849,236.1437016,118.2091822,8.166313025,2.399364765
Webuye,WB01,L,M1,9,2.848543447,1.116018115,0.001675905,0.31,58613.68915,0.31476677,-0.182216438,3.160938155,1.405084,1.663745,3.068829,0.251712033,9.224379584,0.39233783,0.644897447,11.00087983,0.765570388,2.752010829,0.189130964,1.717152386,0.013483082,0.405821082,0.013483082,0.288542662,0.368475338,0.037345744,0.008767319,1.590533163,1.829365979,0.885191588,0.944174391,148.6777695,106.9147181,2.560415188,2.061379806
Webuye,WB02,L,M1,9,1.979987892,1.116018115,0.004070102,0.39,57217.16032,0.384082344,-0.575205863,4.910639578,1.729105,2.493805,4.22291,0.290352764,2.438948025,0.463590796,0.842191301,18.22880085,0.867480914,26.50294434,0.169283053,1.247704491,0.017848458,0.481439459,0.017848458,0.313727815,0.427773185,0.053666274,0.004303957,2.591132863,2.916099262,1.060225167,1.855874094,347.8649388,204.2264262,7.490943403,3.888490283
Webuye,WB05,R,M1,10n,6.310243965,1.116018115,0.000410673,0.48,41188.34006,0.5030403,-0.27713752,5.405045502,5.519111,3.484425,9.003536,0.360565135,6.27E-05,0.570659112,1.157369266,13.76504203,0.834197219,70.99934335,0.388317825,5.169388372,0.033637339,0.604296339,0.033637339,0.362844154,0.532440847,0.071855493,0.001958414,26.3230059,4.695780353,2.708754251,1.987026101,274.5988378,372.6690526,11.02405318,11.92480886
Webuye,WB23,L,M1,9,0.973594553,0.67512207,0.002895583,0.52,53447.25362,0.279960574,-0.492347006,5.350476433,1.599861,2.654835,4.254696,0.207419754,1.758867245,0.326674696,0.591265933,11.71604627,0.675476957,80.25554542,0.122335942,0.70047375,0.015193499,0.3418685,0.015193499,0.215457163,0.302600838,0.039267662,0.00282376,2.115769896,1.840342994,0.782187322,1.058155672,500.7101607,281.8055672,14.02333398,5.729392267
Webuye,WB28,R,M1,10n,1.974647464,0.881792091,0.003583338,0.53,36669.14218,0.265995393,-0.207973402,5.078197343,1.909775,1.537332,3.447107,0.196648902,0.338394906,0.301044393,0.593491258,16.12906974,0.888870023,175.7507473,0.143100103,0.970270638,0.015725072,0.316769072,0.015725072,0.214136612,0.280683388,0.036085684,0.005123758,2.044061336,2.079246804,1.199007918,0.880238886,267.0677453,162.3239007,4.132227193,2.743540834
Webuye,WB29,R,M1,10n,4.538286688,1.116018115,0.001862634,0.65,53880.48704,0.427549065,0.157347744,8.227416371,4.000061,2.734591,6.734652,0.304699244,0.042881874,0.457645352,0.908170351,11.26393857,0.734776625,16.7403121,0.291283916,3.323582621,0.029460322,0.487105322,0.029460322,0.305563462,0.428569538,0.058535784,0.003097027,16.77017416,3.391927375,1.999288155,1.39263922,417.1498977,250.4986826,9.4984203,9.03813014
Webuye,WB30,L,M1,9,2.495170673,0.881792091,0.000815461,0.65,47174.27325,0.339880847,-0.546847599,3.710310858,1.367684,1.603583,2.971267,0.265038246,12.0150071,0.397027942,0.791960051,10.76873789,0.528549834,8.247744404,0.178819264,1.538417929,0.0133764,0.4104044,0.0133764,0.296513812,0.360746188,0.049658212,0.007150489,2.076884679,1.548589758,0.752337717,0.796252042,189.262751,128.2863861,2.434195986,2.218876297
